"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2017-11-08",0,FALSE,"928304145664061440",FALSE,NA,NA,NA,NA,NA,0,FALSE,"SonuSin55080146","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<U+0915><U+0936><U+094D><U+092E><U+0940><U+0930> <U+091F><U+0947><U+0930><U+0930> <U+092B><U+0902><U+0921><U+093F><U+0902><U+0917> <U+092A><U+0930> <U+092C><U+0921><U+093C><U+0940> <U+091C><U+0940><U+0924>: <U+090F><U+0928><U+0906><U+0908><U+090F> <U+0928><U+0947> 36.34 <U+0915><U+0930><U+094B><U+0921><U+093C> <U+0915><U+0940> <U+092A><U+0941><U+0930><U+093E><U+0928><U+0940> <U+0915><U+0930><U+0947><U+0902><U+0938><U+0940> <U+091C><U+092C><U+094D><U+0924> <U+0915><U+0940>
https://t.co/AfAVoaE86n

via NMApp https://t.co/GfaDs98GtF",FALSE
"2017-11-08",0,FALSE,"928303845494714368",FALSE,NA,NA,NA,NA,NA,0,FALSE,"DipakKumarSola2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+0914><U+0930> <U+0907><U+0938><U+0915><U+0947> <U+0938><U+0915><U+093E><U+0930><U+093E><U+0924><U+094D><U+092E><U+0915> <U+092A><U+094D><U+0930><U+092D><U+093E><U+0935>
https://t.co/cvlhlT2e6y

via NMApp https://t.co/uLckcEOpoM",FALSE
"2017-11-09",0,FALSE,"928367110442704896",FALSE,NA,NA,NA,NA,NA,0,FALSE,"apnubhavnagar","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","<U+0A9C><U+0AA8><U+0AA4><U+0ABE><U+0AA8><U+0ACB> <U+0A8F><U+0A95> <U+0A86><U+0A82><U+0AB8><U+0AC1> <U+0AAA><U+0AA3> <U+0AB8><U+0AA4><U+0ACD><U+0AA4><U+0ABE> <U+0AAA><U+0AB2><U+0A9F><U+0ABE><U+0AB5><U+0AC0> <U+0AA6><U+0AC7>, <U+0AA8><U+0ACB><U+0A9F><U+0AAC><U+0A82><U+0AA7><U+0AC0><U+0A8F> <U+0AA4><U+0ACB> <U+0AB2><U+0ABE><U+0A96><U+0ACB><U+0AA8><U+0AC7> <U+0AB0><U+0AA1><U+0ABE><U+0AB5><U+0ACD><U+0AAF><U+0ABE> <U+0A9B><U+0AC7> : <U+0AB0><U+0ABE><U+0AB9><U+0AC1><U+0AB2> https://t.co/ZQH4SfvGFa https://t.co/IlTgyGzGd6",FALSE
"2017-11-09",0,FALSE,"928368034401591296",TRUE,NA,NA,NA,NA,NA,2,FALSE,"Jalendraks","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @gthakker: @timesofindia @narendramodi PM note ban step was very wrong- for the black money holders and oppositions. True statement.",FALSE
"2017-11-09",0,FALSE,"928367976692060160",TRUE,NA,NA,NA,NA,NA,1,FALSE,"Jalendraks","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SKN_NASA: @timesofindia @narendramodi Prakash Raj note ban is not a 3 hrs movie",FALSE
"2017-11-09",0,FALSE,"928367972552294400",FALSE,NA,NA,NA,NA,NA,0,FALSE,"ThexCatmanx","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Things to note:

-Current owners keep their guns
-Seems to ban modifications to the gun (I.E. Grips etc)
-Bump stoc… https://t.co/BBkrf0PwY7",TRUE
"2017-11-09",0,FALSE,"928683782697230336",FALSE,NA,NA,"928569504086368256","imNSharmaBJP","729221437089710080",0,FALSE,"SONU1517","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@imNSharmaBJP @OfficeOfRG @narendramodi <U+0915><U+094D><U+092F><U+094B><U+0902> <U+092D><U+093E><U+0908> <U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+0915><U+0947> <U+0938><U+092E><U+092F> <U+092D><U+093E><U+091C><U+092A><U+093E> <U+0928><U+0947> <U+0915><U+0930><U+094B><U+0921><U+093C><U+094B> <U+0930><U+0942><U+092A><U+092F><U+0947> <U+0915><U+0940> <U+091C><U+092E><U+0940><U+0928> <U+0916><U+0930><U+0940><U+0926><U+0940> <U+0925><U+0940><U+0964> <U+0915><U+094D><U+092F><U+093E> <U+092F><U+0947> <U+0915><U+093E>… https://t.co/XPDKe6Fn62",TRUE
"2017-11-09",0,FALSE,"928683714535665664",FALSE,NA,NA,NA,NA,NA,0,FALSE,"InnerCircleGold","<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","On the hot seat: The Gujarat poll will be a referendum on the note ban and the GSTGujarat, whic.. #finance #news https://t.co/04XyPeGJ4O",FALSE
"2017-11-09",0,FALSE,"928683698270212096",TRUE,NA,NA,NA,NA,NA,11,FALSE,"GRADiA_","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AgriFoodRetail: Why #farm prices are now more prone to falling than rising https://t.co/7trnMvlskZ #Commodities #agriculture #food http…",FALSE
"2017-11-09",0,FALSE,"928683664547991552",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Ifimay_aaadubey","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Black money is not a stock, but a process....Demonetisation failed attacking the process  https://t.co/G0eWUvinB8",FALSE
"2017-11-09",0,FALSE,"928683491633573888",TRUE,NA,NA,NA,NA,NA,3,FALSE,"panditsripathak","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @kirtijoshi1958: @KapilMishraAAP @kjayashree31 @ArvindKejriwal Sirji odd even for public. AAP. MLA will use two cars. Second hand cars m…",FALSE
"2017-11-09",0,FALSE,"928683377951088640",FALSE,NA,NA,NA,NA,NA,0,FALSE,"2good4badworld","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","https://t.co/RsZPV9w10A Only a person who has seen life coming from a humble. lower middle class family &amp; is unimpe… https://t.co/XbHNNDRYOF",TRUE
